Datum;Km-Stand;Teil-Km;Spritmenge;Kosten;Währung;Tankart;Reifen;Strecken;Fahrweise;Kraftstoff;Bemerkung;Verbrauch;BC-Verbrauch;BC-Spritmenge;BC-Geschwindigkeit;Tankstelle;Land;Großraum;Ort
15.06.2016;231505,00;654,80;43,52;47,72;"EUR";1;2;10;3;1;"";6,65;6,40;0,00;79,00;"";"";"";""
09.06.2016;230850,00;723,60;45,77;48,47;"EUR";1;2;10;3;1;"";6,33;6,20;0,00;85,00;"";"";"";""
05.06.2016;230126,00;698,00;43,72;46,74;"EUR";1;2;10;3;1;"";6,26;6,10;0,00;74,00;"";"";"";""
29.05.2016;229428,00;643,30;45,15;47,81;"EUR";1;2;10;3;1;"";7,02;6,70;0,00;70,00;"";"";"";""
20.05.2016;228784,00;626,90;39,42;42,53;"EUR";1;2;10;3;1;"";6,29;6,40;0,00;87,00;"";"";"";""
15.05.2016;228158,00;740,90;46,20;48,00;"EUR";1;2;10;3;1;"";6,24;6,00;0,00;77,00;"";"";"";""
08.05.2016;227470,00;634,00;42,43;44,08;"EUR";1;2;10;3;1;"";6,69;6,30;0,00;82,00;"";"";"";""
29.04.2016;226783,00;661,10;43,06;46,46;"EUR";1;2;10;3;1;"";6,51;6,50;0,00;80,00;"";"";"";""
24.04.2016;226121,00;701,00;41,77;42,56;"EUR";1;2;10;3;1;"";5,96;0,00;0,00;0,00;"";"";"";""
17.04.2016;225420,00;717,40;42,13;43,35;"EUR";1;2;10;3;1;"";5,87;5,50;0,00;77,00;"";"";"";""
11.04.2016;224703,00;675,30;40,81;40,36;"EUR";1;2;10;3;1;"";6,04;6,00;0,00;89,00;"";"";"";""
05.04.2016;224027,00;694,70;41,64;39,54;"EUR";1;2;10;3;1;"";5,99;5,70;0,00;89,00;"";"";"";""
31.03.2016;223333,00;630,00;41,04;39,36;"EUR";1;2;10;3;1;"";6,51;6,50;0,00;84,00;"";"";"";""
23.03.2016;222703,00;721,60;44,28;42,91;"EUR";1;2;10;3;1;"";6,14;6,20;0,00;85,00;"";"";"";""
17.03.2016;221981,00;618,30;42,15;41,69;"EUR";1;2;10;3;1;"";6,82;6,70;0,00;90,00;"";"";"";""
13.03.2016;221363,00;568,10;40,80;40,35;"EUR";1;2;10;3;1;"";7,18;7,20;0,00;93,00;"";"";"";""
10.03.2016;220794,00;661,90;40,83;50,59;"EUR";1;2;10;3;1;"";6,17;5,90;0,00;72,00;"";"";"";""
04.03.2016;220132,00;644,30;41,43;40,97;"EUR";1;2;10;3;1;"";6,43;6,40;0,00;84,00;"";"";"";""
26.02.2016;219488,00;669,50;44,15;41,90;"EUR";1;2;10;3;1;"";6,59;6,70;0,00;88,00;"";"";"";""
21.02.2016;218818,00;604,80;41,92;39,36;"EUR";1;2;10;3;1;"";6,93;6,50;0,00;83,00;"";"";"";""
15.02.2016;218214,00;655,20;40,30;37,44;"EUR";1;2;10;3;1;"";6,15;6,10;0,00;81,00;"";"";"";""
09.02.2016;217558,00;686,60;44,51;44,02;"EUR";1;2;10;3;1;"";6,48;6,30;0,00;76,00;"";"";"";""
01.02.2016;216872,00;681,90;42,58;39,56;"EUR";1;2;10;3;1;"";6,24;6,70;0,00;91,00;"";"";"";""
28.01.2016;21690,00;513,00;35,30;32,79;"EUR";1;2;10;3;1;"";6,88;6,70;0,00;81,00;"";"";"";""
24.01.2016;215677,00;544,50;37,70;33,52;"EUR";1;2;10;3;1;"";6,92;6,50;0,00;78,00;"";"";"";""
19.01.2016;215133,00;561,00;37,27;34,25;"EUR";1;2;10;3;1;"";6,64;6,70;0,00;92,00;"";"";"";""
14.01.2016;214572,00;563,70;36,62;34,39;"EUR";1;2;10;3;1;"";6,50;6,80;0,00;91,00;"";"";"";""
07.01.2016;214008,00;710,00;45,69;44,73;"EUR";1;2;10;3;1;"";6,44;6,30;0,00;91,00;"";"";"";""
25.12.2015;213298,00;476,00;31,08;30,12;"EUR";1;2;10;3;1;"";6,53;6,70;0,00;76,00;"";"";"";""
20.12.2015;212822,00;585,00;38,87;37,67;"EUR";1;2;10;3;1;"";6,64;6,20;0,00;88,00;"";"";"";""
13.12.2015;212236,00;458,70;28,65;28,33;"EUR";1;2;10;3;1;"";6,25;6,50;0,00;84,00;"";"";"";""
06.12.2015;211778,00;523,50;35,84;36,88;"EUR";1;2;10;3;1;"";6,85;6,40;0,00;92,00;"";"";"";""
01.12.2015;211254,00;716,00;42,91;47,16;"EUR";1;2;10;3;1;"";5,99;6,10;0,00;77,00;"";"";"";""
22.11.2015;210538,00;600,90;38,30;40,56;"EUR";1;2;10;3;1;"";6,37;0,00;0,00;92,00;"";"";"";""
20.11.2015;209937,00;751,80;43,20;47,91;"EUR";1;2;10;3;1;"";5,75;5,90;0,00;79,00;"";"";"";""
15.11.2015;209185,00;766,40;46,42;51,48;"EUR";1;2;10;3;1;"";6,06;5,70;0,00;77,00;"";"";"";""
06.11.2015;208418,00;758,30;43,75;50,27;"EUR";1;2;10;3;1;"";5,77;5,80;0,00;83,00;"";"";"";""
30.10.2015;207660,00;769,10;43,72;48,49;"EUR";1;2;10;3;1;"";5,68;5,60;0,00;89,00;"";"";"";""
25.10.2015;206890,00;715,80;44,87;50,21;"EUR";1;2;10;3;1;"";6,27;5,90;0,00;81,00;"";"";"";""
18.10.2015;206174,00;759,70;44,61;49,03;"EUR";1;2;10;2;1;"";5,87;5,70;0,00;81,00;"";"";"";""
11.10.2015;205415,00;662,00;38,35;42,15;"EUR";1;2;10;2;1;"";5,79;5,80;0,00;80,00;"";"";"";""
05.10.2015;204752,00;762,40;44,88;52,46;"EUR";1;2;10;2;1;"";5,89;5,60;0,00;81,00;"";"";"";""
26.09.2015;203989,00;805,60;45,45;49,04;"EUR";1;2;10;2;1;"";5,64;5,50;0,00;67,00;"";"";"";""
04.09.2015;203183,00;769,30;45,91;50,46;"EUR";1;2;10;3;1;"";5,97;5,70;0,00;82,00;"";"";"";""
26.08.2015;202414,00;761,50;43,62;46,63;"EUR";1;2;10;3;1;"";5,73;0,00;0,00;0,00;"";"";"";""
18.08.2015;201653,00;799,30;45,19;50,57;"EUR";1;2;10;3;1;"";5,65;5,40;0,00;80,00;"";"";"";""
08.08.2015;200853,00;602,00;34,15;37,19;"EUR";1;2;10;3;1;"";5,67;5,60;0,00;78,00;"";"";"";""
02.08.2015;200251,00;700,20;40,77;45,21;"EUR";1;2;10;3;1;"";5,82;5,50;0,00;87,00;"";"";"";""
02.08.2015;200251,00;700,20;40,77;45,21;"EUR";1;2;10;3;1;"";5,82;5,50;0,00;87,00;"";"";"";""
28.07.2015;199551,00;746,50;40,92;46,61;"EUR";1;2;10;3;1;"";5,48;5,10;0,00;83,00;"";"";"";""
23.07.2015;198804,00;780,70;42,84;48,79;"EUR";1;2;10;3;1;"";5,49;5,40;0,00;86,00;"";"";"";""
16.07.2015;198024,00;788,30;45,02;52,18;"EUR";1;2;10;3;1;"";5,71;5,50;0,00;76,00;"";"";"";""
08.07.2015;197235,00;739,00;43,16;50,02;"EUR";1;2;10;3;1;"";5,84;5,80;0,00;78,00;"";"";"";""
02.07.2015;196496,00;737,60;44,82;54,64;"EUR";1;2;10;3;1;"";6,08;5,70;0,00;79,00;"";"";"";""
24.06.2015;195759,00;705,00;40,92;48,24;"EUR";1;2;10;3;1;"";5,80;5,70;0,00;76,00;"";"";"";""
17.06.2015;195053,00;740,00;41,55;50,23;"EUR";1;2;10;3;1;"";5,61;5,40;0,00;72,00;"";"";"";""
09.06.2015;194313,00;706,90;40,39;46,81;"EUR";1;2;10;3;1;"";5,71;5,60;0,00;71,00;"";"";"";""
31.05.2015;193606,00;723,60;43,46;52,98;"EUR";1;2;10;3;1;"";6,01;5,90;0,00;89,00;"";"";"";""
26.05.2015;192822,00;790,60;43,58;54,87;"EUR";1;2;10;3;1;"";5,51;5,40;0,00;73,00;"";"";"";""
13.05.2015;192091,00;758,00;43,94;51,81;"EUR";1;2;10;3;1;"";5,80;0,00;0,00;0,00;"";"";"";""
05.05.2015;191333,00;820,00;42,47;50,07;"EUR";1;2;10;3;1;"";5,18;5,00;0,00;65,00;"";"";"";""
25.04.2015;190513,00;545,50;25,82;30,83;"EUR";1;2;10;3;1;"";4,73;4,80;0,00;68,00;"";"";"";""
22.04.2015;189967,00;481,70;29,61;36,98;"EUR";1;2;10;3;1;"";6,15;0,00;0,00;0,00;"";"";"";""
08.04.2015;189486,00;743,00;43,85;50,82;"EUR";1;2;10;3;1;"";5,90;5,80;0,00;68,00;"";"";"";""
25.03.2015;188743,00;692,00;42,64;49,64;"EUR";1;2;10;3;1;"";6,16;6,10;0,00;60,00;"";"";"";""
13.03.2015;188051,00;719,40;41,87;49,36;"EUR";1;2;10;3;1;"";5,82;5,70;0,00;70,00;"";"";"";""
02.03.2015;187331,00;728,00;41,55;48,99;"EUR";1;2;10;3;1;"";5,71;5,90;0,00;72,00;"";"";"";""
19.02.2015;186603,00;722,00;44,19;52,54;"EUR";1;2;10;3;1;"";6,12;5,90;0,00;70,00;"";"";"";""
08.02.2015;185881,00;630,00;38,73;42,56;"EUR";1;2;10;3;1;"";6,15;6,20;0,00;68,00;"";"";"";""
29.01.2015;185251,00;773,00;44,40;46,58;"EUR";1;1;10;2;1;"";5,74;5,70;0,00;62,00;"";"";"";""
16.01.2015;184478,00;671,30;43,68;47,13;"EUR";1;1;10;2;1;"";6,51;6,30;0,00;67,00;"";"";"";""
06.01.2015;183806,00;713,50;43,30;47,15;"EUR";1;1;10;2;1;"";6,07;6,10;0,00;77,00;"";"";"";""
20.12.2014;183093,00;729,10;41,00;46,70;"EUR";1;1;10;2;1;"";5,62;5,80;0,00;62,00;"";"";"";""
09.12.2014;182363,00;708,70;42,52;49,71;"EUR";1;1;10;2;1;"";6,00;5,50;0,00;64,00;"";"";"";""
30.11.2014;181655,00;637,70;40,43;48,48;"EUR";1;1;10;2;1;"";6,34;6,40;0,00;118,00;"";"";"";""
