Datum;Km-Stand;Teil-Km;Spritmenge;Kosten;Währung;Tankart;Reifen;Strecken;Fahrweise;Kraftstoff;Bemerkung;Verbrauch;BC-Verbrauch;BC-Spritmenge;BC-Geschwindigkeit;Tankstelle;Land;Großraum;Ort
19.12.2016;20237,00;707,00;48,30;66,14;'EUR';1;1;2;3;20;'';6,83;673,00;0,00;74,00;'';'';'';''
11.12.2016;19530,00;608,06;42,92;54,47;'EUR';1;1;2;3;20;'';7,06;6,70;0,00;74,00;'';'';'';''
02.12.2016;18922,00;776,00;46,95;60,05;'EUR';1;1;2;3;20;'';6,05;5,80;0,00;74,00;'';'';'';''
27.11.2016;18146,00;736,00;46,65;58,27;'EUR';1;1;2;3;20;'';6,34;6,00;0,00;74,00;'';'';'';''
22.11.2016;17410,00;722,00;47,03;59,21;'EUR';1;1;2;3;20;'';6,51;6,00;0,00;71,00;'';'';'';''
17.11.2016;16688,00;696,00;42,47;52,20;'EUR';1;1;2;3;20;'';6,10;6,80;0,00;69,00;'';'';'';''
13.11.2016;15992,00;698,00;46,87;57,60;'EUR';1;1;2;3;20;'';6,71;6,10;0,00;72,00;'';'';'';''
01.11.2016;15294,00;756,00;46,11;58,51;'EUR';1;1;2;3;20;'';6,10;5,90;0,00;67,00;'';'';'';''
23.10.2016;14538,00;683,00;47,93;63,22;'EUR';1;1;2;3;20;'';7,02;6,30;0,00;73,00;'';'';'';''
17.10.2016;13855,00;588,00;39,82;52,52;'EUR';1;1;2;3;20;'';6,77;6,60;0,00;77,00;'';'';'';''
09.10.2016;13267,00;649,00;47,87;64,58;'EUR';1;1;2;3;20;'';7,38;6,80;0,00;85,00;'';'';'';''
04.10.2016;12618,00;667,00;46,04;58,42;'EUR';1;1;2;2;20;'';6,90;6,50;0,00;75,00;'';'';'';''
25.09.2016;11952,00;698,06;44,42;55,04;'EUR';1;1;2;2;20;'';6,36;6,20;0,00;76,00;'';'';'';''
18.09.2016;11254,00;753,00;48,27;59,81;'EUR';1;1;2;2;20;'';6,41;6,00;0,00;81,00;'';'';'';''
11.09.2016;10500,00;693,00;45,80;63,16;'EUR';1;1;2;2;20;'';6,61;6,20;0,00;77,00;'';'';'';''
10.09.2016;9807,00;744,00;45,99;65,72;'EUR';1;1;2;2;20;'';6,18;5,90;0,00;82,00;'';'';'';''
08.09.2016;9063,00;826,00;44,96;64,74;'EUR';1;1;2;1;20;'';5,44;5,10;0,00;71,00;'';'';'';''
05.09.2016;8237,00;724,00;43,02;49,00;'EUR';1;1;2;1;20;'';5,94;5,50;0,00;67,00;'';'';'';''
01.09.2016;7513,00;784,00;43,85;46,00;'EUR';1;1;2;1;20;'';5,59;5,30;0,00;75,00;'';'';'';''
29.08.2016;6729,00;623,00;37,51;44,60;'EUR';1;1;2;1;20;'';6,02;5,70;0,00;61,00;'';'';'';''
27.08.2016;6106,00;625,00;38,89;51,57;'EUR';1;1;2;1;20;'';6,22;6,00;0,00;88,00;'';'';'';''
24.08.2016;5481,00;754,00;48,04;67,21;'EUR';1;1;2;1;20;'';6,37;6,00;0,00;0,00;'';'';'';''
20.08.2016;4727,00;628,00;38,03;47,50;'EUR';1;1;2;1;20;'';6,06;5,70;0,00;75,00;'';'';'';''
12.08.2016;4099,00;635,00;46,07;55,70;'EUR';1;1;2;2;20;'';7,26;7,00;0,00;89,00;'';'';'';''
09.08.2016;3464,00;656,00;47,00;57,76;'EUR';1;1;2;2;20;'';7,16;6,80;0,00;85,00;'';'';'';''
03.08.2016;2808,00;553,00;38,61;47,84;'EUR';1;1;2;2;20;'';6,98;6,50;0,00;82,00;'';'';'';''
27.07.2016;2255,00;801,00;46,83;57,55;'EUR';1;1;2;1;20;'';5,85;5,70;0,00;73,00;'';'';'';''
20.07.2016;1454,00;632,00;41,26;52,36;'EUR';1;1;2;1;20;'';6,53;6,10;0,00;66,00;'';'';'';''
15.07.2016;821,00;716,00;46,05;58,90;'EUR';1;1;2;1;20;'';6,43;6,00;0,00;0,00;'';'';'';''
06.07.2016;105,00;105,00;43,28;58,62;'EUR';3;1;2;1;20;'';0,00;0,00;0,00;0,00;'';'D';'';''
